           Test   Function no.      Dimesnion    Problem no.                Java code              Matlab Code                    Error
              1              5             10             13       2.128176594913e+01       2.128176594913e+01       0.000000000000e+00
              2              1             20              2       7.548686673207e+02       7.548686673207e+02       0.000000000000e+00
              3              7             20             20       3.258016566603e+03       3.258016566603e+03       9.094947017729e-13
              4              2             30              6       2.485836982620e+04       2.485836982620e+04       0.000000000000e+00
              5              8             10             22       1.237117206499e+02       1.237117206499e+02       1.421085471520e-14
              6              1             10              1       6.670112137967e+02       6.670112137967e+02       0.000000000000e+00
              7              4             10             10       6.500000000000e+02       6.500000000000e+02       0.000000000000e+00
              8              1             20              2       1.371715832866e+03       1.371715832866e+03       0.000000000000e+00
              9              2             20              5       1.196796523631e+04       1.196796523631e+04       0.000000000000e+00
             10              7             30             21       1.788980467388e+04       1.788980467388e+04       0.000000000000e+00
             11              8             10             22       1.255469594474e+02       1.255469594474e+02       0.000000000000e+00
             12              3             10              7       4.642339688495e+03       4.642339688495e+03       0.000000000000e+00
             13              7             30             21       1.707249149178e+04       1.707249149178e+04       1.091393642128e-11
             14              6             30             18       1.124997013953e+03       1.124997013953e+03       0.000000000000e+00
             15              8             30             24       4.088503838038e+02       4.088503838038e+02       1.136868377216e-13
             16              6             20             17       6.307025669273e+02       6.307025669273e+02       0.000000000000e+00
             17              4             30             12       1.317000000000e+03       1.317000000000e+03       0.000000000000e+00
             18              6             30             18       9.574922580283e+02       9.574922580283e+02       0.000000000000e+00
             19              2             10              4       1.511227261706e+03       1.511227261706e+03       0.000000000000e+00
             20              8             30             24       5.374763616158e+02       5.374763616158e+02       2.273736754432e-13
             21              7             20             20       2.949549906225e+03       2.949549906225e+03       0.000000000000e+00
             22              1             30              3       1.891851369409e+03       1.891851369409e+03       0.000000000000e+00
             23              7             10             19       4.166078717717e+03       4.166078717717e+03       9.094947017729e-13
             24              8             10             22       1.704038480206e+02       1.704038480206e+02       0.000000000000e+00
             25              1             30              3       1.676853588291e+03       1.676853588291e+03       0.000000000000e+00
             26              4             30             12       1.140000000000e+03       1.140000000000e+03       0.000000000000e+00
             27              1             10              1       4.326672733008e+02       4.326672733008e+02       0.000000000000e+00
             28              3             30              9       3.405391340710e+04       3.405391340710e+04       0.000000000000e+00
             29              7             10             19       4.914556741599e+03       4.914556741599e+03       1.818989403546e-12
             30              6             30             18       8.375525129760e+02       8.375525129760e+02       0.000000000000e+00
             31              3             10              7       3.298385853815e+03       3.298385853815e+03       0.000000000000e+00
             32              4             10             10       4.790000000000e+02       4.790000000000e+02       0.000000000000e+00
             33              1             30              3       1.697976118094e+03       1.697976118094e+03       0.000000000000e+00
             34              7             30             21       1.556941074342e+04       1.556941074342e+04       3.637978807092e-12
             35              2             30              6       2.641633549828e+04       2.641633549828e+04       0.000000000000e+00
             36              4             20             11       1.071000000000e+03       1.071000000000e+03       0.000000000000e+00
             37              6             30             18       8.144148322119e+02       8.144148322119e+02       0.000000000000e+00
             38              7             10             19       3.773710249733e+03       3.773710249733e+03       4.547473508865e-13
             39              8             10             22       1.823843698715e+02       1.823843698715e+02       0.000000000000e+00
             40              5             20             14       2.111124639899e+01       2.111124639899e+01       0.000000000000e+00
             41              8             10             22       1.633427190263e+02       1.633427190263e+02       0.000000000000e+00
             42              4             20             11       5.970000000000e+02       5.970000000000e+02       0.000000000000e+00
             43              7             20             20       3.764251716046e+03       3.764251716046e+03       4.547473508865e-13
             44              3             10              7       7.034842894836e+03       7.034842894836e+03       0.000000000000e+00
             45              2             10              4       2.302684749789e+03       2.302684749789e+03       0.000000000000e+00
             46              5             20             14       2.109900405585e+01       2.109900405585e+01       0.000000000000e+00
             47              7             30             21       1.801606487142e+04       1.801606487142e+04       1.091393642128e-11
             48              1             10              1       5.677337703979e+02       5.677337703979e+02       0.000000000000e+00
             49              6             10             16       2.145157449041e+02       2.145157449041e+02       0.000000000000e+00
             50              2             30              6       2.374561646920e+04       2.374561646920e+04       0.000000000000e+00
             51              3             30              9       2.716622585166e+04       2.716622585166e+04       0.000000000000e+00
             52              6             30             18       9.738134601720e+02       9.738134601720e+02       0.000000000000e+00
             53              6             20             17       6.111541627793e+02       6.111541627793e+02       0.000000000000e+00
             54              4             30             12       1.173000000000e+03       1.173000000000e+03       0.000000000000e+00
             55              5             20             14       2.076844429446e+01       2.076844429446e+01       0.000000000000e+00
             56              3             20              8       1.021807006173e+04       1.021807006173e+04       0.000000000000e+00
             57              7             10             19       2.948057124268e+03       2.948057124268e+03       0.000000000000e+00
             58              4             30             12       1.019000000000e+03       1.019000000000e+03       0.000000000000e+00
             59              1             30              3       1.852222313658e+03       1.852222313658e+03       0.000000000000e+00
             60              4             30             12       1.460000000000e+03       1.460000000000e+03       0.000000000000e+00
             61              3             10              7       3.257079584225e+03       3.257079584225e+03       0.000000000000e+00
             62              4             30             12       1.450000000000e+03       1.450000000000e+03       0.000000000000e+00
             63              2             10              4       1.669637251783e+03       1.669637251783e+03       0.000000000000e+00
             64              1             20              2       1.285749833291e+03       1.285749833291e+03       0.000000000000e+00
             65              4             10             10       6.870000000000e+02       6.870000000000e+02       0.000000000000e+00
             66              2             30              6       1.895133265719e+04       1.895133265719e+04       0.000000000000e+00
             67              7             20             20       2.851367360260e+03       2.851367360260e+03       0.000000000000e+00
             68              6             10             16       2.676261850179e+02       2.676261850179e+02       0.000000000000e+00
             69              2             10              4       5.785153985514e+02       5.785153985514e+02       0.000000000000e+00
             70              5             20             14       2.147669708461e+01       2.147669708461e+01       0.000000000000e+00
             71              2             30              6       1.580980950219e+04       1.580980950219e+04       0.000000000000e+00
             72              7             20             20       3.614815216850e+03       3.614815216850e+03       0.000000000000e+00
             73              7             30             21       1.661725044174e+04       1.661725044174e+04       3.637978807092e-12
             74              7             20             20       3.799678268637e+03       3.799678268637e+03       0.000000000000e+00
             75              8             30             24       5.047879469807e+02       5.047879469807e+02       1.136868377216e-13
             76              8             20             23       2.339741830507e+02       2.339741830507e+02       2.842170943040e-14
             77              2             30              6       2.132458970737e+04       2.132458970737e+04       0.000000000000e+00
             78              4             10             10       2.900000000000e+02       2.900000000000e+02       0.000000000000e+00
             79              3             10              7       1.376049262265e+03       1.376049262265e+03       0.000000000000e+00
             80              3             10              7       1.999826967734e+03       1.999826967734e+03       0.000000000000e+00
             81              3             20              8       9.784250479324e+03       9.784250479324e+03       0.000000000000e+00
             82              2             20              5       8.723345264318e+03       8.723345264318e+03       0.000000000000e+00
             83              1             30              3       1.620522511763e+03       1.620522511763e+03       0.000000000000e+00
             84              2             10              4       1.161120143221e+03       1.161120143221e+03       0.000000000000e+00
             85              5             20             14       2.127165147572e+01       2.127165147572e+01       0.000000000000e+00
             86              3             20              8       9.641267106685e+03       9.641267106685e+03       0.000000000000e+00
             87              6             30             18       8.090732567394e+02       8.090732567394e+02       0.000000000000e+00
             88              3             10              7       2.103012086280e+03       2.103012086280e+03       0.000000000000e+00
             89              6             20             17       6.339479903439e+02       6.339479903439e+02       0.000000000000e+00
             90              7             20             20       3.475779469559e+03       3.475779469559e+03       0.000000000000e+00
             91              6             10             16       3.631720186929e+02       3.631720186929e+02       0.000000000000e+00
             92              1             10              1       5.286109609169e+02       5.286109609169e+02       0.000000000000e+00
             93              1             30              3       1.201306640312e+03       1.201306640312e+03       0.000000000000e+00
             94              6             20             17       8.932675111341e+02       8.932675111341e+02       0.000000000000e+00
             95              7             10             19       3.400668096169e+03       3.400668096169e+03       0.000000000000e+00
             96              1             30              3       1.602971762798e+03       1.602971762798e+03       0.000000000000e+00
             97              5             30             15       2.140375089298e+01       2.140375089298e+01       0.000000000000e+00
             98              3             30              9       2.978907213620e+04       2.978907213620e+04       0.000000000000e+00
             99              2             20              5       1.039537659824e+04       1.039537659824e+04       0.000000000000e+00
            100              8             10             22       1.724404644781e+02       1.724404644781e+02       0.000000000000e+00
